"COUNTRY","MMWR_WEEK_START","NEW_CONF_CASES","NEW_SUS_DEATHS","NEW_SUS_CASES","EPI_WEEK","EPI_YEAR"
"Bangladesh",2023-01-01,1,0,2,2023,1
"Bangladesh",2023-01-08,1,0,0,2023,2
"Bangladesh",2023-01-15,0,0,0,2023,3
"Bangladesh",2023-01-22,1,0,2,2023,4
"Bangladesh",2023-01-29,2,0,1,2023,5
"Bangladesh",2023-02-05,0,0,1,2023,6
"Bangladesh",2023-02-12,0,0,1,2023,7
"Bangladesh",2023-02-19,0,0,4,2023,8
"Bangladesh",2023-02-26,1,0,1,2023,9
"Bangladesh",2023-03-05,0,0,1,2023,10
"Bangladesh",2023-03-12,0,0,0,2023,11
"Bangladesh",2023-03-19,3,0,2,2023,12
"Bangladesh",2023-03-26,31,0,4,2023,13
"Bangladesh",2023-04-02,21,0,5,2023,14
"Bangladesh",2023-04-09,3,0,4,2023,15
"Bangladesh",2023-04-16,0,0,0,2023,16
"Bangladesh",2023-04-23,2,0,0,2023,17
"Bangladesh",2023-04-30,0,0,0,2023,18
"Bangladesh",2023-05-07,0,0,0,2023,19
"Bangladesh",2023-05-14,1,0,4,2023,20
"Bangladesh",2023-05-21,0,0,0,2023,21
"Bangladesh",2023-05-28,0,0,0,2023,22
"Bangladesh",2023-06-04,0,0,0,2023,23
"Bangladesh",2023-06-11,0,0,0,2023,24
"Bangladesh",2023-06-18,0,0,0,2023,25
"Bangladesh",2023-06-25,0,0,0,2023,26
"Bangladesh",2023-07-02,0,0,0,2023,27
"Bangladesh",2023-07-09,0,0,0,2023,28
"Bangladesh",2023-07-16,0,0,0,2023,29
"Bangladesh",2023-07-23,0,0,0,2023,30
"Bangladesh",2023-07-30,0,0,0,2023,31
"Bangladesh",2023-08-06,0,0,0,2023,32
"Bangladesh",2023-08-13,0,0,0,2023,33
"Bangladesh",2023-08-20,0,0,0,2023,34
"Bangladesh",2023-08-27,0,0,0,2023,35
"Bangladesh",2023-09-03,0,0,0,2023,36
"Bangladesh",2023-09-10,0,0,0,2023,37
