"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","pos_rate","Flu_Type","Cases","Label","Color"
"All Country",2025-03-09,11.85,"flu_ah1n12009",55,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-03-09,11.85,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-03-09,11.85,"flu_vic",82,"B Victoria","#F79700"
"All Country",2025-03-09,11.85,"flu_anot",12,"A not Subtyped","#104f82"
"All Country",2025-03-09,11.85,"flu_bnot",12,"B not Determined","#9c4b30"
"All Country",2025-03-16,9.82,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-03-16,9.82,"flu_ah3",72,"A(H3)","#00A1D5"
"All Country",2025-03-16,9.82,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-03-16,9.82,"flu_ah1n12009",41,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-03-16,9.82,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-03-16,9.82,"flu_vic",70,"B Victoria","#F79700"
"All Country",2025-03-16,9.82,"flu_anot",3,"A not Subtyped","#104f82"
"All Country",2025-03-16,9.82,"flu_bnot",4,"B not Determined","#9c4b30"
"All Country",2025-03-23,10.94,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-03-23,10.94,"flu_ah3",53,"A(H3)","#00A1D5"
"All Country",2025-03-23,10.94,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-03-23,10.94,"flu_ah1n12009",50,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-03-23,10.94,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-03-23,10.94,"flu_vic",89,"B Victoria","#F79700"
"All Country",2025-03-23,10.94,"flu_anot",6,"A not Subtyped","#104f82"
"All Country",2025-03-23,10.94,"flu_bnot",1,"B not Determined","#9c4b30"
"All Country",2025-03-30,10.99,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-03-30,10.99,"flu_ah3",47,"A(H3)","#00A1D5"
"All Country",2025-03-30,10.99,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-03-30,10.99,"flu_ah1n12009",30,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-03-30,10.99,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-03-30,10.99,"flu_vic",68,"B Victoria","#F79700"
"All Country",2025-03-30,10.99,"flu_anot",3,"A not Subtyped","#104f82"
"All Country",2025-03-30,10.99,"flu_bnot",1,"B not Determined","#9c4b30"
"All Country",2025-04-06,7.81,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-04-06,7.81,"flu_ah3",44,"A(H3)","#00A1D5"
"All Country",2025-04-06,7.81,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-04-06,7.81,"flu_ah1n12009",38,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-04-06,7.81,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-04-06,7.81,"flu_vic",63,"B Victoria","#F79700"
"All Country",2025-04-06,7.81,"flu_anot",0,"A not Subtyped","#104f82"
"All Country",2025-04-06,7.81,"flu_bnot",0,"B not Determined","#9c4b30"
"All Country",2025-04-13,8.15,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-04-13,8.15,"flu_ah3",33,"A(H3)","#00A1D5"
"All Country",2025-04-13,8.15,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-04-13,8.15,"flu_ah1n12009",28,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-04-13,8.15,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-04-13,8.15,"flu_vic",52,"B Victoria","#F79700"
