"reporting_country","clade","date","clade_group"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-17,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-24,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
